Area,Country,Currency,Channel Type,Payin/ Payout,Payment Method,
APAC,Bangladesh,BDT,Mobile Money,Payin,Bkash,
APAC,Bangladesh,BDT,Mobile Money,Payin,Nagad,
APAC,Bangladesh,BDT,Mobile Money,Payout,Bkash,
APAC,Bangladesh,BDT,Mobile Money,Payout,Nagad,
APAC,Hong Kong,USD,Bank Transfer (CHATS),Payout,"HSBC Bank
Hang Seng Bank
Bank of East Asia (BEA)
DBS
Standard Chartered Hong Kong",
APAC,Hong Kong,HKD,Bank Transfer (FPS),Payout,"HSBC Bank
Hang Seng Bank
Bank of East Asia (BEA)
DBS
Standard Chartered Hong Kong",
APAC,Japan,JPY,Bank Transfer,Payout,"MUFG Bank
Mizuho Bank
Sumitomo Mitsui Banking Corporation
Resona Bank
Kansai Mirai Bank", 
APAC,Indonesia,IDR,Bank Transfer,Payin,"BCA
Mandiri
BNI
BRI
BSI
Permata
CIMB",
APAC,Indonesia,IDR,Local Wallets,Payin,Dana,
APAC,Indonesia,IDR,Local Wallets,Payin,OVO,
APAC,Indonesia,IDR,QR,Payin,QRIS,
APAC,Indonesia,IDR,Local Wallets,Payin,ShopeePay ,
APAC,Indonesia,IDR,Bank Transfer,Payout,"BCA
Mandiri
BNI
BRI
BSI
Permata
CIMB",
APAC,Indonesia,IDR,Local Wallets,Payout,Dana,
APAC,Indonesia,IDR,Local Wallets,Payout,GoPay,
APAC,Indonesia,IDR,Local Wallets,Payout,OVO,
APAC,Indonesia,IDR,Local Wallets,Payout,ShopeePay,
APAC,Malaysia,MYR,Bank Transfer,Payin,"CIMB
Bank Transfer (FPX)
Public Bank
Hong Leong
RHB
Maybank Berhad",
APAC,Malaysia,MYR,Local Wallets,Payin,Boost,
APAC,Malaysia,MYR,Local Wallets,Payin,DuitNow,
APAC,Malaysia,MYR,Bank Transfer,Payin,Online Banking,
APAC,Malaysia,MYR,Local Wallets,Payin,ShopeePay,
APAC,Malaysia,MYR,Local Wallets,Payin,TouchnGo,
APAC,Malaysia,MYR,Bank Transfer,Payout,"CIMB
Bank Transfer (FPX)
Public Bank
Hong Leong
RHB
Maybank Berhad",
APAC,Malaysia,MYR,Bank Transfer,Payout,Online Banking,
APAC,Pakistan,PKR,Bank Transfer,Payout,"Habib Bank
United Bank
MCB Bank
Allied Bank
Askari Bank
Meezan Bank",
APAC,Philippines,PHP,Bank Transfer,Payin,"Bank Transfer
BDO
Landbank
Metrobank
UBP
BPI",
APAC,Philippines,PHP,Local Wallets,Payin,GCash,
APAC,Philippines,PHP,Local Wallets,Payin,GrabPay,
APAC,Philippines,PHP,Wallets,Payin,Maya,
APAC,Philippines,PHP,Wallets,Payin,PayMaya,
APAC,Philippines,PHP,QR,Payin,QR PH,
APAC,Philippines,PHP,Local Wallets,Payin,ShopeePay,
APAC,Philippines,PHP,Bank Transfer,Payout,"Bank Transfer
BDO
Landbank
Metrobank
UBP
BPI",
APAC,Philippines,PHP,Local Wallets,Payout,GCash,
APAC,Philippines,PHP,Local Wallets,Payout,GrabPay,
APAC,Philippines,PHP,Wallets,Payout,PayMaya,
APAC,Philippines,PHP,Local Wallets,Payout,ShopeePay,
APAC,Thailand,THB,Bank Transfer,Payin,"PromptPay
Bangkok Bank
Kasikorn Bank
Krungsri Bank",
APAC,Thailand,THB,QR,Payin,ThaiQR (PromptPay),
APAC,Thailand,THB,Bank Transfer,Payout,"PromptPay
Bangkok Bank
Kasikorn Bank
Krungsri Bank",
APAC,Vietnam,VND,Bank Transfer,Payin,"Techcom Bank
DongA Bank
Exim Bank
Vietcombank
Sacombank
Vietin Bank
MCB Bank Vietnam
BIDV Bank",
APAC,Vietnam,VND,Wallets,Payin,Momo,
APAC,Vietnam,VND,QR,Payin,VietQR,
APAC,Vietnam,VND,Wallets,Payin,ViettelPay,
APAC,Vietnam,VND,Wallets,Payin,ZaloPay,
APAC,Vietnam,VND,Bank Transfer,Payout,"Techcom Bank
DongA Bank
Exim Bank
Vietcombank
Sacombank
Vietin Bank
MCB Bank Vietnam
BIDV Bank",
APAC,Vietnam,VND,Wallets,Payout,ViettelPay,
